step,dx,dz,volume_ul,liquid_class,timer_delta,source,step_index,destination,group_number,timer_group_check,guid,from_path,asp_mixing,dispense_type,tip_type,touchoff_dis,to_plate,to_well,from_plate,from_well
A1A_082,0,0,40,RoboNAAT_tip300_primers_SurfaceEmpty,0,primers L1,0,0,6,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,74,ivl_96_dw_v1_0001,42
A1A_083,0,0,40,RoboNAAT_tip300_primers_SurfaceEmpty,0,primers L1,0,0,6,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,75,ivl_96_dw_v1_0001,41
A1A_084,0,0,40,RoboNAAT_tip300_primers_SurfaceEmpty,0,primers L1,0,0,6,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,76,ivl_96_dw_v1_0001,42
A1A_073,0,0,30,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,BST 2.0,0,0,7,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,57,ivl_96_flat_v1_0001,1
A1A_074,0,0,24,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,BST 2.0,0,0,7,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,58,ivl_96_flat_v1_0001,2
A1A_075,0,0,30,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,BST 3.0,0,0,7,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,59,ivl_96_flat_v1_0001,17
A1A_076,0,0,30,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,BST 3.0,0,0,7,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,60,ivl_96_flat_v1_0001,18
A1A_077,0,0,24,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,BST 2.0,0,0,7,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,61,ivl_96_flat_v1_0001,3
A1A_078,0,0,30,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,BST 2.0,0,0,7,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,62,ivl_96_flat_v1_0001,4
A1A_079,0,0,24,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,BST 3.0,0,0,7,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,63,ivl_96_flat_v1_0001,19
A1A_080,0,0,24,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,BST 2.0,0,0,7,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,64,ivl_96_flat_v1_0001,2
A1A_081,0,0,24,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,BST 2.0,0,0,7,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,73,ivl_96_flat_v1_0001,3
A1A_082,0,0,30,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,BST 2.0,0,0,7,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,74,ivl_96_flat_v1_0001,4
A1A_083,0,0,30,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,BST 2.0,0,0,7,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,75,ivl_96_flat_v1_0001,1
A1A_084,0,0,24,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,BST 3.0,0,0,7,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,76,ivl_96_flat_v1_0001,20
A1A_073,0,0,30,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,BST 2.0,0,0,7,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,57,ivl_96_flat_v1_0001,2
A1A_074,0,0,24,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,BST 2.0,0,0,7,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,58,ivl_96_flat_v1_0001,3
A1A_075,0,0,30,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,BST 3.0,0,0,7,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,59,ivl_96_flat_v1_0001,17
A1A_076,0,0,30,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,BST 3.0,0,0,7,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,60,ivl_96_flat_v1_0001,18
A1A_077,0,0,24,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,BST 2.0,0,0,7,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,61,ivl_96_flat_v1_0001,4
A1A_078,0,0,30,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,BST 2.0,0,0,7,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,62,ivl_96_flat_v1_0001,1
A1A_079,0,0,24,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,BST 3.0,0,0,7,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,63,ivl_96_flat_v1_0001,19
A1A_080,0,0,24,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,BST 2.0,0,0,7,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,64,ivl_96_flat_v1_0001,1
A1A_081,0,0,24,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,BST 2.0,0,0,7,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,73,ivl_96_flat_v1_0001,2
A1A_082,0,0,30,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,BST 2.0,0,0,7,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,74,ivl_96_flat_v1_0001,3
A1A_083,0,0,30,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,BST 2.0,0,0,7,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,75,ivl_96_flat_v1_0001,4
A1A_084,0,0,24,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,BST 3.0,0,0,7,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,76,ivl_96_flat_v1_0001,20
A1A_073,0,0,24,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,RT,0,0,8,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,57,ivl_96_flat_v1_0001,33
A1A_074,0,0,24,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,RT,0,0,8,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,58,ivl_96_flat_v1_0001,34
A1A_075,0,0,18,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,RT,0,0,8,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,59,ivl_96_flat_v1_0001,35
A1A_076,0,0,24,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,RT,0,0,8,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,60,ivl_96_flat_v1_0001,36
A1A_077,0,0,18,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,RT,0,0,8,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,61,ivl_96_flat_v1_0001,33
A1A_078,0,0,18,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,RT,0,0,8,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,62,ivl_96_flat_v1_0001,34
A1A_079,0,0,24,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,RT,0,0,8,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,63,ivl_96_flat_v1_0001,35
A1A_080,0,0,18,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,RT,0,0,8,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,64,ivl_96_flat_v1_0001,49
A1A_081,0,0,18,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,RT,0,0,8,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,73,ivl_96_flat_v1_0001,33
A1A_082,0,0,18,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,RT,0,0,8,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,74,ivl_96_flat_v1_0001,34
A1A_083,0,0,24,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,RT,0,0,8,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,75,ivl_96_flat_v1_0001,35
A1A_084,0,0,18,RoboNAAT_tip50_enzymes_SurfaceEmpty,0,RT,0,0,8,0,1,some path,3,Surface_Empty,50,-1,ivl_96_dw_v1_0001,76,ivl_96_flat_v1_0001,36
A1A_073,0,0,250,RoboNAAT_HighVolume_Water_DispenseSurface_Empty,0,mixing,0,0,9,0,1,some path,10,Surface_Empty,1000,-1,ivl_96_dw_v1_0001,57,ivl_96_dw_v1_0001,57
A1A_074,0,0,250,RoboNAAT_HighVolume_Water_DispenseSurface_Empty,0,mixing,0,0,9,0,1,some path,10,Surface_Empty,1000,-1,ivl_96_dw_v1_0001,58,ivl_96_dw_v1_0001,58
A1A_075,0,0,250,RoboNAAT_HighVolume_Water_DispenseSurface_Empty,0,mixing,0,0,9,0,1,some path,10,Surface_Empty,1000,-1,ivl_96_dw_v1_0001,59,ivl_96_dw_v1_0001,59
A1A_076,0,0,250,RoboNAAT_HighVolume_Water_DispenseSurface_Empty,0,mixing,0,0,9,0,1,some path,10,Surface_Empty,1000,-1,ivl_96_dw_v1_0001,60,ivl_96_dw_v1_0001,60
A1A_077,0,0,250,RoboNAAT_HighVolume_Water_DispenseSurface_Empty,0,mixing,0,0,9,0,1,some path,10,Surface_Empty,1000,-1,ivl_96_dw_v1_0001,61,ivl_96_dw_v1_0001,61
A1A_078,0,0,250,RoboNAAT_HighVolume_Water_DispenseSurface_Empty,0,mixing,0,0,9,0,1,some path,10,Surface_Empty,1000,-1,ivl_96_dw_v1_0001,62,ivl_96_dw_v1_0001,62
A1A_079,0,0,250,RoboNAAT_HighVolume_Water_DispenseSurface_Empty,0,mixing,0,0,9,0,1,some path,10,Surface_Empty,1000,-1,ivl_96_dw_v1_0001,63,ivl_96_dw_v1_0001,63
A1A_080,0,0,250,RoboNAAT_HighVolume_Water_DispenseSurface_Empty,0,mixing,0,0,9,0,1,some path,10,Surface_Empty,1000,-1,ivl_96_dw_v1_0001,64,ivl_96_dw_v1_0001,64
A1A_081,0,0,250,RoboNAAT_HighVolume_Water_DispenseSurface_Empty,0,mixing,0,0,9,0,1,some path,10,Surface_Empty,1000,-1,ivl_96_dw_v1_0001,73,ivl_96_dw_v1_0001,73
A1A_082,0,0,250,RoboNAAT_HighVolume_Water_DispenseSurface_Empty,0,mixing,0,0,9,0,1,some path,10,Surface_Empty,1000,-1,ivl_96_dw_v1_0001,74,ivl_96_dw_v1_0001,74
A1A_083,0,0,250,RoboNAAT_HighVolume_Water_DispenseSurface_Empty,0,mixing,0,0,9,0,1,some path,10,Surface_Empty,1000,-1,ivl_96_dw_v1_0001,75,ivl_96_dw_v1_0001,75
A1A_084,0,0,250,RoboNAAT_HighVolume_Water_DispenseSurface_Empty,0,mixing,0,0,9,0,1,some path,10,Surface_Empty,1000,-1,ivl_96_dw_v1_0001,76,ivl_96_dw_v1_0001,76
A1A_073,0,0,30,RoboNAAT_tip300_20uL_MM__JetEmpty_Part,0,MM_aq,0,0,10,0,1,some path,0,Jet_Empty,300,-1,ivl_96_flat_v1_0002,1,ivl_96_dw_v1_0001,57
