step,dx,dz,volume_ul,liquid_class,timer_delta,source,step_index,destination,group_number,timer_group_check,guid,from_path,asp_mixing,dispense_type,tip_type,touchoff_dis,to_plate,to_well,from_plate,from_well
A1A_060,0,0,30,RoboNAAT_tip300_20uL_MM__JetEmpty_Part,0,MM_aq,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_flat_v1_0002,36,ivl_96_dw_v1_0001,60
A1A_061,0,0,30,RoboNAAT_tip300_20uL_MM__JetEmpty_Part,0,MM_aq,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_flat_v1_0002,37,ivl_96_dw_v1_0001,61
A1A_062,0,0,30,RoboNAAT_tip300_20uL_MM__JetEmpty_Part,0,MM_aq,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_flat_v1_0002,38,ivl_96_dw_v1_0001,62
A1A_063,0,0,30,RoboNAAT_tip300_20uL_MM__JetEmpty_Part,0,MM_aq,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_flat_v1_0002,39,ivl_96_dw_v1_0001,63
A1A_064,0,0,30,RoboNAAT_tip300_20uL_MM__JetEmpty_Part,0,MM_aq,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_flat_v1_0002,40,ivl_96_dw_v1_0001,64
A1A_065,0,0,30,RoboNAAT_tip300_20uL_MM__JetEmpty_Part,0,MM_aq,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_flat_v1_0002,41,ivl_96_dw_v1_0001,57
A1A_066,0,0,30,RoboNAAT_tip300_20uL_MM__JetEmpty_Part,0,MM_aq,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_flat_v1_0002,42,ivl_96_dw_v1_0001,58
A1A_067,0,0,30,RoboNAAT_tip300_20uL_MM__JetEmpty_Part,0,MM_aq,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_flat_v1_0002,43,ivl_96_dw_v1_0001,59
A1A_068,0,0,30,RoboNAAT_tip300_20uL_MM__JetEmpty_Part,0,MM_aq,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_flat_v1_0002,44,ivl_96_dw_v1_0001,60
A1A_069,0,0,30,RoboNAAT_tip300_20uL_MM__JetEmpty_Part,0,MM_aq,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_flat_v1_0002,45,ivl_96_dw_v1_0001,61
A1A_070,0,0,30,RoboNAAT_tip300_20uL_MM__JetEmpty_Part,0,MM_aq,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_flat_v1_0002,46,ivl_96_dw_v1_0001,62
A1A_071,0,0,30,RoboNAAT_tip300_20uL_MM__JetEmpty_Part,0,MM_aq,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_flat_v1_0002,47,ivl_96_dw_v1_0001,63
A1A_072,0,0,30,RoboNAAT_tip300_20uL_MM__JetEmpty_Part,0,MM_aq,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_flat_v1_0002,48,ivl_96_dw_v1_0001,64
A1A_049,0,0,30,RoboNAAT_tip300_20uL_MM__JetEmpty_Part,0,MM_aq,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_flat_v1_0002,49,ivl_96_dw_v1_0001,57
A1A_050,0,0,30,RoboNAAT_tip300_20uL_MM__JetEmpty_Part,0,MM_aq,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_flat_v1_0002,50,ivl_96_dw_v1_0001,58
A1A_051,0,0,30,RoboNAAT_tip300_20uL_MM__JetEmpty_Part,0,MM_aq,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_flat_v1_0002,51,ivl_96_dw_v1_0001,59
A1A_052,0,0,30,RoboNAAT_tip300_20uL_MM__JetEmpty_Part,0,MM_aq,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_flat_v1_0002,52,ivl_96_dw_v1_0001,60
A1A_053,0,0,30,RoboNAAT_tip300_20uL_MM__JetEmpty_Part,0,MM_aq,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_flat_v1_0002,53,ivl_96_dw_v1_0001,61
A1A_054,0,0,30,RoboNAAT_tip300_20uL_MM__JetEmpty_Part,0,MM_aq,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_flat_v1_0002,54,ivl_96_dw_v1_0001,62
