,F_max,C_half,k,F_b,DriftSlope
A1,83.60279786787828,143.90083394953416,1.1604593096030609,5924.116934305184,25.792511046898817
A2,61.94484587337607,143.80278213693305,0.8446994393714763,5864.904467534825,28.099849457487775
A3,0.12987365662283423,140.28426055477547,1.1986386346273428,6150.211908201025,28.607526073651925
A4,16841.038720613993,83.04998676873456,1.8855639704843365,5520.493371518502,36.356583342044374
A5,19515.904118915656,58.32609198140627,3.3267174782684203,5819.9952141309,13.998470657061715
A6,17496.833748081728,72.45786579647455,1.997186695111423,5534.344916967397,27.063075660155466
A7,17779.23518191327,47.37680455172147,2.080481830937282,5456.059312593005,16.319642721902536
A8,17227.661210696337,45.70318819930591,1.8884512804025275,5303.168280821683,8.238146538037446
A9,15249.462467879574,43.176393191166085,1.7491598627177094,4943.04322920617,9.015864817108064
A10,9465.341515790999,111.18149598955158,5.096509738051683,3896.769636501889,22.96553264030151
A11,17645.35260214247,63.90408175823043,5.737911666501431,4518.409625607394,16.41256854935629
A12,14394.625042300337,37.18216835271482,1.6040636062550881,4427.104289529692,24.539912484771886
B1,7770.530833979025,119.73283098475316,2.3872221529750886,4113.855484793309,20.330919928879016
B2,11608.918312787124,116.24611838785637,2.3198950699381924,4397.750303688223,24.017598851588353
B3,871.8126664541578,143.7633467946429,1.0227591426519744,4518.6962691905965,23.827954035492013
B4,20183.80182538813,44.286973967483334,2.4844233462347916,4964.39311942156,13.602095683322046
B5,20120.685076596452,41.90246673218295,2.4697084857433946,4918.139385605553,1.7939050163939008
B6,20901.4269331459,48.129448849135414,2.496024972629307,5054.288538021169,24.015132558750206
B7,22262.068233058395,46.15743982940597,2.1614810878739887,5547.332951344667,-0.3025372128166402
B8,20446.219630842686,46.22475429809882,2.58555456334176,4936.865228262663,26.577547339186243
B9,20423.56986298217,47.78916869742081,2.565533517803908,5127.250308874594,14.619216334022274
B10,797.5133277737584,17.715702319203583,16.587757281302284,3441.7365975519983,11.729054841597758
B11,19652.251266479234,62.72132145192754,8.280804801608722,4918.708364908609,8.460808274860032
B12,20832.275545901903,54.52216650068165,7.567782715038173,5015.18976731904,16.222972187622798
C1,13519.938403571949,102.21757367934055,2.5922766588226316,3810.2014368283517,13.62119748240623
C2,18523.128660934857,100.4234997601217,7.130298329752129,4171.233874984256,11.31486193746281
C3,459.3910067649096,49.14984495771761,13.363668768746201,4252.413555016341,12.580440382852055
C4,20117.770419124226,43.535822615418915,2.576766155634513,4657.424703945347,4.668674146154994
C5,21412.345934224453,42.684278177397864,2.2711356593390435,4799.299447527195,3.782070228015517
C6,22162.790221181105,42.65862648241,2.5578178469379913,4905.632466578278,1.138761760626621
C7,21842.37411524437,45.57972777069206,2.2377263032097945,4936.817641238857,6.764906602980805
C8,21188.2435211151,46.7831107971827,2.461491724598449,4859.397444549589,12.988633785122257
C9,22859.956972562435,54.07825627746405,2.658078061674696,5132.700613663955,8.006690670284627
C10,9693.2294536447,111.3785632203109,4.843541187134674,4772.555502968384,34.15545496796686
C11,22053.226689200583,46.243590224959604,4.2525021320172325,5022.628759026817,15.834981626814491
C12,20412.148377101355,42.47675867568719,3.568525218469296,5012.095925797914,10.124045511732973
D1,240.26792469463476,43.91088934585953,11.432316389712783,4163.963596357709,9.511614031735615
D2,3084.6457054099023,121.10650331962914,2.238865509182786,4070.7873488483165,14.263509512732348
D3,411.849325872578,50.28433876278797,14.412424279025343,4157.13806417134,10.187421671929487
D4,19382.914960570462,48.49070288401518,2.7910274438569727,4388.589282474385,11.597877665802804
D5,20739.53132149291,56.5558824902915,2.35364428628995,4666.23062052869,-0.2876350437468879
D6,20039.679770993826,51.84400234769702,2.850435534134073,4476.449991931317,9.555049202777166
