step,dx,dz,volume_ul,liquid_class,timer_delta,source,step_index,destination,group_number,timer_group_check,guid,from_path,asp_mixing,dispense_type,tip_type,touchoff_dis,to_plate,to_well,from_plate,from_well
2B_031,0,0,33.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,95,ivl_96_dw_v1_0001,3
2B_032,0,0,113.6,RoboNAAT_tip300_buffer_JetEmpty,0,water,0,0,1,0,1,some path,0,Jet_Empty,300,-1,ivl_96_dw_v1_0001,96,ivl_96_dw_v1_0001,4
2B_001,0,0,40,RoboNAAT_tip300_buffer_SurfaceEmpty,0,BST 2.0 buffer,0,0,2,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,65,ivl_96_dw_v1_0001,9
2B_002,0,0,40,RoboNAAT_tip300_buffer_SurfaceEmpty,0,BST 2.0 buffer,0,0,2,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,66,ivl_96_dw_v1_0001,10
2B_003,0,0,40,RoboNAAT_tip300_buffer_SurfaceEmpty,0,BST 2.0 buffer,0,0,2,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,67,ivl_96_dw_v1_0001,9
2B_004,0,0,40,RoboNAAT_tip300_buffer_SurfaceEmpty,0,BST 2.0 buffer,0,0,2,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,68,ivl_96_dw_v1_0001,10
2B_005,0,0,40,RoboNAAT_tip300_buffer_SurfaceEmpty,0,BST 2.0 buffer,0,0,2,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,69,ivl_96_dw_v1_0001,9
2B_006,0,0,40,RoboNAAT_tip300_buffer_SurfaceEmpty,0,BST 2.0 buffer,0,0,2,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,70,ivl_96_dw_v1_0001,10
2B_007,0,0,40,RoboNAAT_tip300_buffer_SurfaceEmpty,0,BST 2.0 buffer,0,0,2,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,71,ivl_96_dw_v1_0001,9
2B_008,0,0,40,RoboNAAT_tip300_buffer_SurfaceEmpty,0,BST 2.0 buffer,0,0,2,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,72,ivl_96_dw_v1_0001,10
2B_009,0,0,40,RoboNAAT_tip300_buffer_SurfaceEmpty,0,BST 2.0 buffer,0,0,2,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,73,ivl_96_dw_v1_0001,9
2B_010,0,0,40,RoboNAAT_tip300_buffer_SurfaceEmpty,0,BST 2.0 buffer,0,0,2,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,74,ivl_96_dw_v1_0001,10
2B_011,0,0,40,RoboNAAT_tip300_buffer_SurfaceEmpty,0,BST 2.0 buffer,0,0,2,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,75,ivl_96_dw_v1_0001,9
2B_012,0,0,40,RoboNAAT_tip300_buffer_SurfaceEmpty,0,BST 2.0 buffer,0,0,2,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,76,ivl_96_dw_v1_0001,10
2B_013,0,0,40,RoboNAAT_tip300_buffer_SurfaceEmpty,0,BST 2.0 buffer,0,0,2,0,1,some path,0,Surface_Empty,300,-1,ivl_96_dw_v1_0001,77,ivl_96_dw_v1_0001,9
